"Mannfjöldi eftir fæðingarlandi, kyni og aldri 1. janúar 1998-2025"

"Aldur";"Ár";"Alls Alls";"Ísland Alls"
"20-24 ára";"2013";23400;20383
"20-24 ára";"2014";23883;20563
"20-24 ára";"2015";24160;20516
"20-24 ára";"2016";23889;20011
"20-24 ára";"2017";24302;19851
"20-24 ára";"2018";24751;19476
"20-24 ára";"2019";24854;19078
"20-24 ára";"2020";24407;18692
"20-24 ára";"2021";23938;18680
"20-24 ára";"2022";24117;18538
"20-24 ára";"2023";24761;18282
"25-29 ára";"2013";21091;16790
"25-29 ára";"2014";21622;17120
"25-29 ára";"2015";22089;17462
"25-29 ára";"2016";23200;18268
"25-29 ára";"2017";24672;18880
"25-29 ára";"2018";26793;19388
"25-29 ára";"2019";28170;19505
"25-29 ára";"2020";28617;19535
"25-29 ára";"2021";28158;19253
"25-29 ára";"2022";28332;19246
"25-29 ára";"2023";28988;18810
"30-34 ára";"2013";22109;17540
"30-34 ára";"2014";22566;17851
"30-34 ára";"2015";22439;17464
"30-34 ára";"2016";22089;16883
"30-34 ára";"2017";22454;16527
"30-34 ára";"2018";23621;16534
"30-34 ára";"2019";24825;16820
"30-34 ára";"2020";25777;17214
"30-34 ára";"2021";26943;18193
"30-34 ára";"2022";28238;18916
"30-34 ára";"2023";30011;19357
"35-39 ára";"2013";20695;17058
"35-39 ára";"2014";20632;16709
"35-39 ára";"2015";21173;16915
"35-39 ára";"2016";21774;17030
"35-39 ára";"2017";22624;17262
"35-39 ára";"2018";23947;17676
"35-39 ára";"2019";24839;17918
"35-39 ára";"2020";24915;17631
"35-39 ára";"2021";24879;17267
"35-39 ára";"2022";25036;16960
"35-39 ára";"2023";26019;16814
"40-44 ára";"2013";20145;17170
"40-44 ára";"2014";20626;17433
"40-44 ára";"2015";20789;17402
"40-44 ára";"2016";21254;17617
"40-44 ára";"2017";21849;17678
"40-44 ára";"2018";22110;17183
"40-44 ára";"2019";22404;16844
"40-44 ára";"2020";23155;17127
"40-44 ára";"2021";23797;17405
"40-44 ára";"2022";24423;17571
"40-44 ára";"2023";25667;17953
"45-49 ára";"2013";21333;19070
"45-49 ára";"2014";20958;18530
"45-49 ára";"2015";20601;17962
"45-49 ára";"2016";20149;17269
"45-49 ára";"2017";20187;16890
"45-49 ára";"2018";21211;17175
"45-49 ára";"2019";22035;17471
"45-49 ára";"2020";22263;17467
"45-49 ára";"2021";22852;17834
"45-49 ára";"2022";23353;17905
"45-49 ára";"2023";23560;17293
"50-54 ára";"2013";21092;19159
"50-54 ára";"2014";21242;19233
"50-54 ára";"2015";21242;19133
"50-54 ára";"2016";21274;19022
"50-54 ára";"2017";21743;19169
"50-54 ára";"2018";21871;18881
"50-54 ára";"2019";21636;18364
"50-54 ára";"2020";21381;17829
"50-54 ára";"2021";21083;17270
"50-54 ára";"2022";20992;16917
"50-54 ára";"2023";21874;17131
